,ensembl
0,ENSG00000000005.5
1,ENSG00000001036.12
2,ENSG00000001630.14
3,ENSG00000002726.18
4,ENSG00000003137.7
5,ENSG00000003147.16
6,ENSG00000003989.15
7,ENSG00000004468.11
8,ENSG00000004799.7
9,ENSG00000005243.8
10,ENSG00000006282.18
11,ENSG00000006757.10
12,ENSG00000007171.15
13,ENSG00000007202.13
14,ENSG00000007314.10
15,ENSG00000007402.10
16,ENSG00000007908.14
17,ENSG00000007944.13
18,ENSG00000008128.21
19,ENSG00000010319.5
20,ENSG00000010626.13
21,ENSG00000010803.15
22,ENSG00000011638.9
23,ENSG00000013288.7
24,ENSG00000013573.15
25,ENSG00000018189.11
26,ENSG00000019169.10
27,ENSG00000019186.8
28,ENSG00000019505.6
29,ENSG00000022556.14
30,ENSG00000029639.9
31,ENSG00000035141.6
32,ENSG00000036672.14
33,ENSG00000037757.12
34,ENSG00000037965.5
35,ENSG00000039139.9
36,ENSG00000040531.13
37,ENSG00000041880.13
38,ENSG00000043039.6
39,ENSG00000043514.14
40,ENSG00000043591.5
41,ENSG00000046647.12
42,ENSG00000051108.13
43,ENSG00000051596.8
44,ENSG00000055732.11
45,ENSG00000056998.17
46,ENSG00000060709.12
47,ENSG00000062282.13
48,ENSG00000063046.16
49,ENSG00000063587.13
50,ENSG00000063761.14
51,ENSG00000063978.14
52,ENSG00000064687.11
53,ENSG00000065054.12
54,ENSG00000065150.17
55,ENSG00000065320.7
56,ENSG00000066651.16
57,ENSG00000067445.19
58,ENSG00000067992.11
59,ENSG00000068724.14
60,ENSG00000070731.8
61,ENSG00000070761.6
62,ENSG00000072274.11
63,ENSG00000074706.12
64,ENSG00000074935.12
65,ENSG00000075673.10
66,ENSG00000076351.11
67,ENSG00000077063.9
68,ENSG00000077522.11
69,ENSG00000078246.14
70,ENSG00000078319.8
71,ENSG00000078399.14
72,ENSG00000078596.9
73,ENSG00000078725.11
74,ENSG00000079277.18
75,ENSG00000079435.8
76,ENSG00000079616.11
77,ENSG00000079950.12
78,ENSG00000080371.5
79,ENSG00000080546.12
80,ENSG00000081985.9
81,ENSG00000083828.14
82,ENSG00000084764.9
83,ENSG00000085563.13
84,ENSG00000087842.9
85,ENSG00000088367.19
86,ENSG00000088386.14
87,ENSG00000089053.11
88,ENSG00000089199.8
89,ENSG00000090857.12
90,ENSG00000091831.20
91,ENSG00000091947.8
92,ENSG00000092295.10
93,ENSG00000092621.10
94,ENSG00000092820.16
95,ENSG00000094963.12
96,ENSG00000095485.15
97,ENSG00000095713.12
98,ENSG00000095739.10
99,ENSG00000096060.13
100,ENSG00000099256.17
101,ENSG00000099338.21
102,ENSG00000099875.13
103,ENSG00000099968.16
104,ENSG00000099974.7
105,ENSG00000099992.14
106,ENSG00000100033.15
107,ENSG00000100129.16
108,ENSG00000100167.18
109,ENSG00000100234.11
110,ENSG00000100242.14
111,ENSG00000100285.9
112,ENSG00000100304.12
113,ENSG00000100362.11
114,ENSG00000100376.10
115,ENSG00000100418.7
116,ENSG00000100422.12
117,ENSG00000100626.15
118,ENSG00000100918.11
119,ENSG00000101210.9
120,ENSG00000101298.12
121,ENSG00000101333.15
122,ENSG00000101335.8
123,ENSG00000101342.8
124,ENSG00000101463.5
125,ENSG00000101911.11
126,ENSG00000101945.15
127,ENSG00000102109.8
128,ENSG00000102738.7
129,ENSG00000102904.13
130,ENSG00000102931.6
131,ENSG00000102967.10
132,ENSG00000103034.13
133,ENSG00000103037.10
134,ENSG00000103150.5
135,ENSG00000103226.16
136,ENSG00000103257.7
137,ENSG00000103460.15
138,ENSG00000103811.14
139,ENSG00000104324.14
