,ensembl
0,ENSG00000000971.14
1,ENSG00000002933.6
2,ENSG00000004779.8
3,ENSG00000004864.12
4,ENSG00000005421.7
5,ENSG00000006459.9
6,ENSG00000007933.11
7,ENSG00000008324.9
8,ENSG00000008382.14
9,ENSG00000008394.11
10,ENSG00000008517.15
11,ENSG00000008988.8
12,ENSG00000009724.15
13,ENSG00000009765.13
14,ENSG00000010256.9
15,ENSG00000010379.14
16,ENSG00000019995.6
17,ENSG00000021826.13
18,ENSG00000025423.10
19,ENSG00000036473.6
20,ENSG00000039537.12
21,ENSG00000042753.10
22,ENSG00000047457.12
23,ENSG00000048162.18
24,ENSG00000053501.11
25,ENSG00000054148.16
26,ENSG00000055955.14
27,ENSG00000055957.9
28,ENSG00000057593.12
29,ENSG00000059769.18
30,ENSG00000060971.16
31,ENSG00000063177.11
32,ENSG00000063241.6
33,ENSG00000063854.11
34,ENSG00000064225.11
35,ENSG00000065054.12
36,ENSG00000065057.6
37,ENSG00000066185.11
38,ENSG00000066583.10
39,ENSG00000066813.13
40,ENSG00000069431.9
41,ENSG00000069535.13
42,ENSG00000069667.14
43,ENSG00000072163.17
44,ENSG00000072506.11
45,ENSG00000073849.13
46,ENSG00000074071.12
47,ENSG00000075239.12
48,ENSG00000076258.8
49,ENSG00000076555.14
50,ENSG00000077238.12
51,ENSG00000079557.4
52,ENSG00000079739.14
53,ENSG00000080618.12
54,ENSG00000081377.15
55,ENSG00000082438.14
56,ENSG00000083123.13
57,ENSG00000083807.8
58,ENSG00000084674.12
59,ENSG00000085871.7
60,ENSG00000087086.12
61,ENSG00000087299.10
62,ENSG00000088926.12
63,ENSG00000089220.4
64,ENSG00000090013.8
65,ENSG00000090266.11
66,ENSG00000090512.10
67,ENSG00000090534.16
68,ENSG00000090975.11
69,ENSG00000091262.13
70,ENSG00000091317.7
71,ENSG00000091513.13
72,ENSG00000091583.9
73,ENSG00000095321.15
74,ENSG00000099330.7
75,ENSG00000099377.12
76,ENSG00000099937.9
77,ENSG00000100003.16
78,ENSG00000100024.13
79,ENSG00000100075.8
80,ENSG00000100209.8
81,ENSG00000100348.8
82,ENSG00000100577.17
83,ENSG00000100652.4
84,ENSG00000100665.10
85,ENSG00000100714.14
86,ENSG00000100889.10
87,ENSG00000100897.16
88,ENSG00000100908.12
89,ENSG00000100934.13
90,ENSG00000101856.9
91,ENSG00000101974.13
92,ENSG00000102309.11
93,ENSG00000102531.15
94,ENSG00000102743.13
95,ENSG00000102763.14
