Var1,TCGA-BC-A10Q-11A-11R,TCGA-BC-A10R-11A-11R,TCGA-BC-A10T-11A-11R,TCGA-BC-A10U-11A-11R,TCGA-BC-A10W-11A-11R,TCGA-BC-A10X-11A-11R,TCGA-BC-A10Y-11A-11R,TCGA-BC-A10Z-11A-11R,TCGA-BC-A110-11A-11R,TCGA-BC-A216-11A-11R,TCGA-BD-A2L6-11A-21R,TCGA-BD-A3EP-11A-12R,TCGA-DD-A113-11A-12R,TCGA-DD-A114-11A-12R,TCGA-DD-A116-11A-12R,TCGA-DD-A118-11A-11R,TCGA-DD-A119-11A-11R,TCGA-DD-A11A-11A-11R,TCGA-DD-A11B-11A-11R,TCGA-DD-A11C-11A-11R,TCGA-DD-A11D-11A-12R,TCGA-DD-A1EB-11A-11R,TCGA-DD-A1EC-11A-11R,TCGA-DD-A1EE-11A-11R,TCGA-DD-A1EG-11A-11R,TCGA-DD-A1EH-11A-11R,TCGA-DD-A1EI-11A-11R,TCGA-DD-A1EJ-11A-11R,TCGA-DD-A1EL-11A-11R,TCGA-DD-A39V-11A-11R,TCGA-DD-A39W-11A-11R,TCGA-DD-A39X-11A-11R,TCGA-DD-A39Z-11A-21R,TCGA-DD-A3A1-11A-11R,TCGA-DD-A3A2-11A-11R,TCGA-DD-A3A3-11A-11R,TCGA-DD-A3A4-11A-11R,TCGA-DD-A3A5-11A-11R,TCGA-DD-A3A6-11A-11R,TCGA-DD-A3A8-11A-11R,TCGA-EP-A12J-11A-11R,TCGA-EP-A26S-11A-12R,TCGA-EP-A3RK-11A-11R,TCGA-ES-A2HT-11A-11R,TCGA-FV-A23B-11A-11R,TCGA-FV-A2QR-11A-11R,TCGA-FV-A3I0-11A-11R,TCGA-FV-A3I1-11A-11R,TCGA-FV-A3R2-11A-11R,TCGA-G3-A3CH-11A-11R
ENSG00000003249.12,0.60089603,0.53447282,0.64079579,1.09756036,0.90402636,0.56469318,4.25540367,4.69918353,0.23999137,0.48587608,3.72970327,0.50344232,0.67584807,2.2507203,0.60825322,0.4354754,0.35968142,0.53422499,2.4203104,0.78550739,0.54589075,1.19597259,0.79445813,1.57756861,0.76836595,3.18439233,0.83807797,1.83767933,2.80375483,0.45949094,0.3943936,0.80794268,1.52315911,1.90494366,0.59626582,3.23525387,1.84011971,0.40004937,0.82317157,1.34615789,1.53410073,0.4115944,0.44585458,6.50405152,2.79222467,19.03802514,0.53598477,0.67959028,3.12228102,0.89878383
ENSG00000019169.10,7.43242762,89.64125789,16.09704247,23.04750275,27.33469276,21.44138142,21.84918505,11.16486365,38.33019018,26.88851868,114.09982502,30.11351963,18.05253767,54.43019024,19.41102234,35.44977598,91.93759848,103.44683043,4.88878872,39.58137637,33.58369199,44.13290745,61.1043189,69.25757236,44.69840509,20.53310732,24.39322075,43.84957018,34.53195899,20.34899996,21.4493208,33.10013078,2.96876604,84.75953990000002,34.26283742,58.11657751,89.19053502,6.58637988,0.67276507,29.39689534,27.09021947,14.74311825,9.53943461,10.98891428,35.06328517,49.09948863,9.67982039,33.39772792,41.40729188,24.92767483
ENSG00000034510.5,221.23157996,266.85826468,196.92656459,218.99552141,364.17073133,153.33845924,217.2645864,468.33967806,194.35007314,241.13044141,926.50629284,237.08709124,148.62256904,459.16075423,204.496819,255.33250854,173.21675033,230.99098417,183.29151269,145.96027593,260.95038412,148.57117029,208.13084248,282.48372472,380.8505414,188.80528477,172.73613835,282.68608231,241.7648429,206.01658294,131.26205929,164.92749114,168.2910043,877.59947915,184.30384282,387.08843207,442.30324098,99.15423099,119.9157938,176.55059842,238.70098217,123.102751,141.11644092,579.09138858,376.41251507,875.53484278,132.73520833,134.70510097,397.63140729,262.55145556
ENSG00000050165.16,1.30458805,0.56942908,0.65419258,2.14744283,1.80145212,1.73678103,2.14908113,1.21691907,0.83579597,1.46586453,3.63866746,2.40477366,1.32165154,2.8565697999999995,1.89999777,0.43918576,1.66837878,1.41770047,3.31881995,1.03531808,1.22541571,0.79983712,1.36527955,1.65040832,2.40091472,1.31244804,2.54592705,1.16604504,3.42987954,1.7746529999999998,0.73504926,0.32305995,0.70559371,1.67549811,0.952323,2.51152088,5.11653348,0.60148398,0.38071737,1.80906621,4.27965989,1.66366989,0.38583587,3.5425104,5.0198071,6.2476554,1.06558118,0.80734249,1.70163589,1.76608577
ENSG00000067057.15,0.40496909,0.75012421,0.85544879,2.58379564,1.74271598,0.41042925,0.67707269,4.54073552,1.07374671,0.79423559,3.49572441,0.70001078,0.48260433,0.94487612,0.57104391,0.26333624,0.4436001,0.65720541,1.18437999,0.27277046,0.88132184,0.48554166,0.47607866,1.12279751,1.36787063,0.31002509,0.49115124,0.71046998,0.67975494,0.51854958,0.18442157,0.29052448,0.22907495,0.65788507,0.34804433,1.4223158,1.1464208,0.17569127,0.14698177,0.3895051,0.83060236,0.42549331,0.44932143,1.10174346,1.46813575,5.94338626,1.10341996,0.4023664,1.35702885,0.63153169
ENSG00000067225.16,2.47460072,3.54597915,3.54126144,3.74181602,3.55415998,2.79365918,5.30400607,6.10748364,2.3541141,5.60259657,16.17356795,4.73959001,2.36237762,6.79412523,2.9460745,2.03904729,2.85578718,3.95917607,3.90146265,2.60732819,4.28553437,3.15135903,3.21690536,5.02672694,4.28845563,1.89726244,3.2611249,3.79202695,3.31345815,2.72032679,1.97353398,2.19120374,1.56331618,4.64944961,2.49344019,5.62036141,6.35390657,1.07890296,1.19046493,3.16994004,3.928677,3.39106407,2.16351244,6.46500134,6.50330008,11.96092482,1.96548506,2.89065394,5.50384462,3.52344205
ENSG00000068366.18,8.33439656,1.71546971,1.70385945,4.26084617,1.87921221,1.45243187,1.48049062,2.9292779,6.67798484,6.38916229,3.37112188,20.39264825,21.00295351,113.35223123,0.72540476,2.00630072,1.07724376,7.95553328,4.94571367,1.56037059,29.06713466,1.68741921,1.36322509,1.41213456,1.23799909,0.62666424,0.88817929,1.40790225,6.59337925,2.75131012,2.87716667,1.94654503,1.36233236,2.47614001,1.45630746,1.32166543,1.48762392,1.10885273,0.44678794,0.68301262,4.716156400000001,2.68192339,5.01484674,56.01486416,11.75291929,5.10862908,1.16682216,1.75689511,1.29079445,1.15620717
ENSG00000073111.12,0.75508644,0.22387299,0.25317933,0.32216625,0.48963714,1.15539278,0.56462635,0.277465,0.23834022,0.80389383,1.03293148,0.76396067,0.43750336,3.31898578,0.65050434,0.3924498,0.55600217,0.37581748,1.64955335,1.18719665,0.63628357,0.94897095,0.51890826,0.55105703,0.79289939,0.69572689,3.54174523,0.70863485,1.25705152,0.37488944,0.53348082,0.44161783,0.49144011,0.6348151,0.3559586,0.29232622,1.24964629,0.39099072,0.37887836,2.21785339,2.03401935,0.86284929,0.74755162,2.24957373,0.9580525,0.71684995,0.35666248,0.46376218,0.41737748,1.10674684
ENSG00000074181.7,0.71507523,0.28556477,0.69765811,1.10105157,0.6166666999999999,1.30271599,1.15543019,0.89920638,0.32376015,0.49205981,1.79263239,0.84460131,2.28299071,0.78096352,0.54571506,0.26824489,0.60834634,0.72455906,1.89489822,0.53690507,0.64136901,0.46532547,1.54560859,0.73776461,0.57686673,0.59279959,1.03093735,0.39264079,0.54068479,0.50129091,0.63722183,0.15108717,1.71087778,0.45980971,0.27779889,0.40932206,1.57895631,0.1872007,0.54430509,0.50128983,1.32522989,0.54152184,0.31167932,0.62560997,1.42741897,0.88637945,0.46528622,0.66858045,0.64722674,0.63608559
ENSG00000076706.13,1.01589296,2.88534595,3.54969576,4.70222145,2.14701846,2.13600138,2.81272891,4.3234185,2.60111701,1.09101737,4.21875488,2.41738567,2.61194783,1.70211599,0.89422236,1.17188005,1.27461617,1.82088042,2.18274021,1.1238859,0.9814429,0.53722781,2.94691539,1.81610376,2.55044846,0.96118879,1.7906023999999998,0.85777367,1.16025647,2.25937564,0.71284172,0.31871753,1.94511621,1.13579887,1.13388735,2.33617574,2.63769917,0.36472677,0.8001417,1.12827243,1.26664039,0.86445408,0.98746916,1.84905917,2.63758134,6.99378457,1.30051219,1.01494483,2.30934316,1.41082677
